ID_Escenario,Entidad,Escenario_IHH,Escenario_TPM,Spread_Proyectado
0,BANCO POPULAR,1674.507122951685,2.614360476965945,8.025469
0,COOPEMEDICOS,1674.507122951685,2.614360476965945,8.025469
0,COOPEGRECIA,1674.507122951685,2.614360476965945,8.025469
0,CAJA DE ANDE,1674.507122951685,2.614360476965945,8.025469
0,FINANCIERA MULTIMONEY,1674.507122951685,2.614360476965945,8.025469
0,BANCO PROMERICA,1674.507122951685,2.614360476965945,8.025469
0,GRUPO MUTUAL,1674.507122951685,2.614360476965945,8.025469
0,BANCO GENERAL,1674.507122951685,2.614360476965945,8.025469
0,BCR,1674.507122951685,2.614360476965945,8.025469
0,BANHVI,1674.507122951685,2.614360476965945,8.025469
0,FINANCIERA MONGE,1674.507122951685,2.614360476965945,8.025469
0,BANCO DAVIVIENDA,1674.507122951685,2.614360476965945,8.025469
0,BANCO CMB,1674.507122951685,2.614360476965945,8.025469
0,Banco_Referencia,1674.507122951685,2.614360476965945,8.025469
0,COOPEFYL,1674.507122951685,2.614360476965945,8.025469
0,BANCO LAFISE,1674.507122951685,2.614360476965945,8.025469
0,BANCO CATHAY,1674.507122951685,2.614360476965945,8.025469
0,COOPECAR,1674.507122951685,2.614360476965945,8.025469
0,COOPEUNA,1674.507122951685,2.614360476965945,8.025469
0,COOPEJUDICIAL,1674.507122951685,2.614360476965945,8.025469
0,COOPECAJA,1674.507122951685,2.614360476965945,8.025469
0,COOPEBANPO,1674.507122951685,2.614360476965945,8.025469
0,CREDECOOP,1674.507122951685,2.614360476965945,8.025469
0,COOPEAYA,1674.507122951685,2.614360476965945,8.025469
0,COOPEANDE Nº 1,1674.507122951685,2.614360476965945,8.025469
0,BANCO BCT,1674.507122951685,2.614360476965945,8.025469
0,COOPESANMARCOS,1674.507122951685,2.614360476965945,8.025469
0,FINANCIERA CAFSA,1674.507122951685,2.614360476965945,8.025469
0,BANCO NACIONAL,1674.507122951685,2.614360476965945,8.025469
0,BANCO IMPROSA,1674.507122951685,2.614360476965945,8.025469
0,COOPEALIANZA,1674.507122951685,2.614360476965945,8.025469
0,COOPEMEP,1674.507122951685,2.614360476965945,8.025469
0,FINANCIERA COMECA,1674.507122951685,2.614360476965945,8.025469
0,COOPAVEGRA,1674.507122951685,2.614360476965945,8.025469
0,MUCAP,1674.507122951685,2.614360476965945,8.025469
1,BANCO POPULAR,1579.2603548243223,2.569878837424219,8.025469
1,COOPEMEDICOS,1579.2603548243223,2.569878837424219,8.025469
1,COOPEGRECIA,1579.2603548243223,2.569878837424219,8.025469
1,CAJA DE ANDE,1579.2603548243223,2.569878837424219,8.025469
1,FINANCIERA MULTIMONEY,1579.2603548243223,2.569878837424219,8.025469
1,BANCO PROMERICA,1579.2603548243223,2.569878837424219,8.025469
1,GRUPO MUTUAL,1579.2603548243223,2.569878837424219,8.025469
1,BANCO GENERAL,1579.2603548243223,2.569878837424219,8.025469
1,BCR,1579.2603548243223,2.569878837424219,8.025469
1,BANHVI,1579.2603548243223,2.569878837424219,8.025469
1,FINANCIERA MONGE,1579.2603548243223,2.569878837424219,8.025469
1,BANCO DAVIVIENDA,1579.2603548243223,2.569878837424219,8.025469
1,BANCO CMB,1579.2603548243223,2.569878837424219,8.025469
1,Banco_Referencia,1579.2603548243223,2.569878837424219,8.025469
1,COOPEFYL,1579.2603548243223,2.569878837424219,8.025469
1,BANCO LAFISE,1579.2603548243223,2.569878837424219,8.025469
1,BANCO CATHAY,1579.2603548243223,2.569878837424219,8.025469
1,COOPECAR,1579.2603548243223,2.569878837424219,8.025469
1,COOPEUNA,1579.2603548243223,2.569878837424219,8.025469
1,COOPEJUDICIAL,1579.2603548243223,2.569878837424219,8.025469
1,COOPECAJA,1579.2603548243223,2.569878837424219,8.025469
1,COOPEBANPO,1579.2603548243223,2.569878837424219,8.025469
1,CREDECOOP,1579.2603548243223,2.569878837424219,8.025469
1,COOPEAYA,1579.2603548243223,2.569878837424219,8.025469
1,COOPEANDE Nº 1,1579.2603548243223,2.569878837424219,8.025469
1,BANCO BCT,1579.2603548243223,2.569878837424219,8.025469
1,COOPESANMARCOS,1579.2603548243223,2.569878837424219,8.025469
1,FINANCIERA CAFSA,1579.2603548243223,2.569878837424219,8.025469
1,BANCO NACIONAL,1579.2603548243223,2.569878837424219,8.025469
1,BANCO IMPROSA,1579.2603548243223,2.569878837424219,8.025469
1,COOPEALIANZA,1579.2603548243223,2.569878837424219,8.025469
1,COOPEMEP,1579.2603548243223,2.569878837424219,8.025469
1,FINANCIERA COMECA,1579.2603548243223,2.569878837424219,8.025469
1,COOPAVEGRA,1579.2603548243223,2.569878837424219,8.025469
